Grouping,Subset,Property,GroupA,GroupB,nA,nB,MedianA,MedianB,CliffsDelta,DeltaMag,MWU_p,KS_stat,KS_p,MWU_p_BH,KS_p_BH
condition,all,IsoelectricPoint,Cytiva 0.5% TFA,Cytiva 2% TFA,568,439,10.581,10.385,0.127,negligible,0.0005282032040068168,0.183,9.473856474998938e-08,0.0015846096120204507,1.1368627769998726e-06
condition,all,IsoelectricPoint,Cytiva 0.5% TFA,Cytiva 10% FA,568,544,10.581,10.883,-0.024,negligible,0.4954308065953478,0.05,0.45908696028465773,0.5753390012075006,0.533133244201538
condition,all,IsoelectricPoint,Cytiva 0.5% TFA,Cytiva 20% FA,568,508,10.581,10.883,-0.047,negligible,0.18260292385508536,0.082,0.051843436318498,0.26294821035132293,0.0717832195179203
condition,all,IsoelectricPoint,Cytiva 2% TFA,Cytiva 10% FA,439,544,10.385,10.883,-0.165,small,8.414607194694514e-06,0.177,3.6151820739286185e-07,4.327512271557178e-05,3.2536638665357567e-06
condition,all,IsoelectricPoint,Cytiva 2% TFA,Cytiva 20% FA,439,508,10.385,10.883,-0.195,small,2.1749997664681675e-07,0.168,2.559572593837701e-06,1.985648241655905e-06,1.1518076672269655e-05
condition,all,IsoelectricPoint,Cytiva 10% FA,Cytiva 20% FA,544,508,10.883,10.883,-0.022,negligible,0.5275578170973344,0.038,0.8313139559734424,0.5858424092217567,0.8313139559734424
condition,all,GRAVY,MCW,MagReSyn 0.5% TFA,747,591,-0.585,-0.594,0.019,negligible,0.5473115140530413,0.054,0.27547286124438947,0.7578159425349804,0.3966809201919208
condition,all,GRAVY,MCW,MagReSyn 2% TFA,747,494,-0.585,-0.626,0.116,negligible,0.0005235742047837744,0.198,1.0689242897521787e-10,0.01884867137221588,3.8481274431078435e-09
condition,all,GRAVY,MCW,MagReSyn 10% FA,747,582,-0.585,-0.593,0.023,negligible,0.47228622063601844,0.053,0.31231601990803504,0.6979710056475049,0.4164213598773801
condition,all,GRAVY,MCW,MagReSyn 20% FA,747,477,-0.585,-0.563,0.007,negligible,0.8328190915490136,0.063,0.1849623582418453,0.9072726747990306,0.33173766845688885
condition,all,GRAVY,MCW,Cytiva 0.5% TFA,747,568,-0.585,-0.6,0.064,negligible,0.047453264162813084,0.063,0.1410305399853413,0.21353968873265888,0.2820610799706826
condition,all,GRAVY,MCW,Cytiva 2% TFA,747,439,-0.585,-0.564,0.049,negligible,0.15898829184257834,0.145,1.4975840410946052e-05,0.5106587819433012,8.985504246567632e-05
condition,all,GRAVY,MCW,Cytiva 10% FA,747,544,-0.585,-0.598,0.025,negligible,0.44374827722772314,0.046,0.4983321494002045,0.6979710056475049,0.5787083025292696
condition,all,GRAVY,MCW,Cytiva 20% FA,747,508,-0.585,-0.567,-0.009,negligible,0.7962666848948392,0.059,0.23563293882002467,0.9072726747990306,0.353449408230037
condition,all,GRAVY,MagReSyn 0.5% TFA,MagReSyn 2% TFA,591,494,-0.594,-0.626,0.099,negligible,0.004794999723827899,0.147,1.4023148703754147e-05,0.05753999668593479,8.985504246567632e-05
condition,all,GRAVY,MagReSyn 0.5% TFA,MagReSyn 10% FA,591,582,-0.594,-0.593,0.005,negligible,0.8820706560546131,0.025,0.9918887341049883,0.9072726747990306,0.9918887341049883
condition,all,GRAVY,MagReSyn 0.5% TFA,MagReSyn 20% FA,591,477,-0.594,-0.563,-0.007,negligible,0.8488562938908342,0.055,0.374268992012925,0.9072726747990306,0.46460978318845864
condition,all,GRAVY,MagReSyn 0.5% TFA,Cytiva 0.5% TFA,591,568,-0.594,-0.6,0.044,negligible,0.19541517741987935,0.047,0.522842001260304,0.5106587819433012,0.588197251417842
condition,all,GRAVY,MagReSyn 0.5% TFA,Cytiva 2% TFA,591,439,-0.594,-0.564,0.039,negligible,0.2802210927848162,0.111,0.003808697969810826,0.5934093729560814,0.011426093909432479
condition,all,GRAVY,MagReSyn 0.5% TFA,Cytiva 10% FA,591,544,-0.594,-0.598,0.005,negligible,0.8771874432311267,0.062,0.20747405833561672,0.9072726747990306,0.33950300454919097
condition,all,GRAVY,MagReSyn 0.5% TFA,Cytiva 20% FA,591,508,-0.594,-0.567,-0.026,negligible,0.4534640395658779,0.08,0.05796116705842083,0.6979710056475049,0.13910680094021
condition,all,GRAVY,MagReSyn 2% TFA,MagReSyn 10% FA,494,582,-0.626,-0.593,-0.093,negligible,0.008421884478919797,0.149,1.1605298637755931e-05,0.0666771931398329,8.985504246567632e-05
condition,all,GRAVY,MagReSyn 2% TFA,MagReSyn 20% FA,494,477,-0.626,-0.563,-0.092,negligible,0.01322101759726486,0.137,0.00018158601276022974,0.07932610558358917,0.000726344051040919
condition,all,GRAVY,MagReSyn 2% TFA,Cytiva 0.5% TFA,494,568,-0.626,-0.6,-0.054,negligible,0.1286502957654557,0.141,5.013333154538427e-05,0.5106587819433012,0.0002578285622334048
condition,all,GRAVY,MagReSyn 2% TFA,Cytiva 2% TFA,494,439,-0.626,-0.564,-0.049,negligible,0.1985895263112838,0.073,0.1605553067965895,0.5106587819433012,0.3042100549830117
condition,all,GRAVY,MagReSyn 2% TFA,Cytiva 10% FA,494,544,-0.626,-0.598,-0.093,negligible,0.009260721269421237,0.176,1.6359777215169127e-07,0.0666771931398329,1.963173265820295e-06
